date,open,high,low,close,volume,amount,outstanding_share,turnover
2022-06-13,3203.34,3225.46,3128.55,3154.33,26434591.0,4580799636.0,3881497761.0,0.006810409957106246
2022-06-14,3112.1,3181.58,3102.04,3177.92,19733328.0,3385240808.0,3881497761.0,0.005083946768763833
2022-06-15,3178.29,3289.46,3141.17,3241.55,32544108.0,5743255077.0,3881497761.0,0.008384420139821382
2022-06-16,3254.72,3309.57,3236.43,3247.4,20500586.0,3668452194.0,3881497761.0,0.005281617371001235
2022-06-17,3227.29,3312.86,3227.29,3312.86,28620361.0,5145018832.0,3881497761.0,0.00737353536244897
2022-06-20,3341.76,3419.28,3273.0,3355.1,31195435.0,5705313089.0,3881497761.0,0.008036958133388963
2022-06-21,3339.93,3391.86,3299.52,3321.64,21811575.0,3990195909.0,3881497761.0,0.0056193707540309465
2022-06-22,3327.86,3343.95,3250.15,3256.0,22352764.0,4006768455.0,3881497761.0,0.005758798632989859
2022-06-23,3256.55,3307.75,3250.88,3298.6,15972518.0,2867621353.0,3881497761.0,0.004115039859223044
2022-06-24,3318.72,3392.04,3289.64,3382.71,24518674.0,4504178661.0,3881497761.0,0.006316807456738863
2022-06-27,3419.28,3578.0,3419.28,3528.99,36637471.0,7058190240.0,3881497761.0,0.00943900351254125
2022-06-28,3528.99,3654.61,3496.08,3650.59,31678590.0,6232395066.0,3881497761.0,0.008161434567422902
2022-06-29,3657.33,3660.11,3536.83,3564.68,28997090.0,5625269619.0,3881497761.0,0.007470592999267738
2022-06-30,3568.02,3806.04,3568.02,3749.04,42521450.0,8521483468.0,3881445239.9999995,0.010955056008982882
2022-07-01,3751.83,3806.04,3676.08,3768.91,21936590.0,4418343886.0,3881445239.9999995,0.005651655155129795
2022-07-04,3731.59,3765.2,3679.79,3732.52,22587623.0,4525333761.0,3881445239.9999995,0.0058193846887815434
2022-07-05,3743.85,3762.6,3643.77,3687.4,26296492.0,5224558250.0,3881445239.9999995,0.0067749228377623595
2022-07-06,3678.31,3706.16,3589.75,3615.55,22763312.0,4459016820.0,3881445239.9999995,0.0058646484988153546
2022-07-07,3615.55,3615.55,3499.14,3557.07,26677066.0,5095578644.0,3881445239.9999995,0.006872972398291519
2022-07-08,3589.75,3616.67,3545.37,3577.68,16409671.0,3167643747.0,3881445239.9999995,0.004227721888458228
2022-07-11,3527.92,3542.4,3453.29,3516.04,19257469.0,3621672903.0,3881445239.9999995,0.004961417155018269
2022-07-12,3504.9,3578.42,3481.88,3527.55,16993479.0,3229606651.0,3881445239.9999995,0.004378131842457734
2022-07-13,3519.57,3616.3,3483.18,3585.11,18991870.0,3656106377.0,3881445239.9999995,0.00489298929282331
2022-07-14,3549.27,3593.65,3509.91,3529.96,15107930.0,2880607578.0,3881445239.9999995,0.0038923465528525663
2022-07-15,3530.34,3629.85,3490.42,3525.69,20720892.0,3979169055.0,3881445239.9999995,0.005338447593299037
2022-07-18,3520.68,3523.84,3419.87,3477.98,17803426.0,3320023855.0,3881445239.9999995,0.004586803342355025
2022-07-19,3471.85,3521.05,3462.57,3507.13,12021415.0,2259044880.0,3881445239.9999995,0.0030971491948705173
2022-07-20,3542.4,3555.4,3490.42,3511.03,11249772.0,2134516123.0,3881445239.9999995,0.0028983461840620998
2022-07-21,3508.8,3525.69,3464.05,3466.28,11072844.0,2082697378.0,3881445239.9999995,0.0028527631630325414
2022-07-22,3481.14,3499.7,3434.72,3451.62,11698563.0,2180797972.0,3881445239.9999995,0.003013970899148896
2022-07-25,3469.07,3499.7,3430.08,3491.9,12479902.0,2336297100.0,3881445239.9999995,0.003215271948548732
2022-07-26,3506.39,3564.68,3503.04,3545.93,13747445.0,2627310531.0,3881445239.9999995,0.0035418366484541728
2022-07-27,3528.48,3546.3,3482.25,3492.27,9749124.0,1844277553.0,3881445239.9999995,0.0025117252459292715
