symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh601866,中远海发,2.860,0.100,3.623,2.850,2.860,2.760,2.820,3.020,2.820,326987678,950693462,601866,15:00:00
sh601880,辽港股份,1.620,-0.020,-1.220,1.620,1.630,1.640,1.640,1.650,1.610,119556918,194069404,601880,15:00:03
sh601918,新集能源,7.390,-0.210,-2.763,7.380,7.390,7.600,7.610,7.620,7.320,36030240,266729138,601918,15:00:01
sh601921,浙版传媒,7.820,-0.060,-0.761,7.820,7.830,7.880,7.890,7.890,7.810,6968649,54659899,601921,15:00:03
sh601928,凤凰传媒,9.750,-0.110,-1.116,9.750,9.760,9.860,9.880,9.890,9.750,5752100,56436407,601928,15:00:03
sh601958,金钼股份,18.440,-0.240,-1.285,18.430,18.440,18.680,18.720,18.780,18.300,18357293,339202366,601958,15:00:01
sh601965,中国汽研,17.020,-0.140,-0.816,17.020,17.030,17.160,17.130,17.210,16.810,5192941,88365484,601965,15:00:03
sh601966,玲珑轮胎,13.960,-0.120,-0.852,13.960,13.970,14.080,14.080,14.100,13.920,6187527,86653537,601966,15:00:03
sh601990,南京证券,7.190,-0.090,-1.236,7.190,7.200,7.280,7.300,7.310,7.180,10325200,74650985,601990,15:00:03
sh601991,大唐发电,3.710,-0.130,-3.385,3.710,3.720,3.840,3.830,3.840,3.680,172344654,644063264,601991,15:00:03
sh601997,贵阳银行,5.720,-0.070,-1.209,5.720,5.730,5.790,5.790,5.800,5.700,22283900,127858223,601997,15:00:01
sh603000,人民网,18.800,-0.380,-1.981,18.800,18.810,19.180,19.180,19.280,18.790,12753700,241272201,603000,15:00:01
sh603049,中策橡胶,48.520,-0.670,-1.362,48.520,48.530,49.190,48.900,49.180,48.440,1630415,79316011,603049,15:00:00
sh603077,和邦生物,2.690,-0.060,-2.182,2.680,2.690,2.750,2.750,2.770,2.670,151085083,406743612,603077,15:00:03
sh603087,甘李药业,63.150,-1.380,-2.139,63.150,63.160,64.530,63.600,64.400,63.010,5321493,337888064,603087,15:00:01
sh603129,春风动力,238.500,-3.320,-1.373,238.500,238.650,241.820,241.080,248.500,238.000,941643,227873425,603129,15:00:03
sh603156,养元饮品,29.900,-0.570,-1.871,29.890,29.900,30.470,30.340,30.650,29.740,2983101,89530083,603156,15:00:03
sh603160,汇顶科技,63.380,-0.590,-0.922,63.380,63.390,63.970,64.300,64.420,63.100,3012617,191897496,603160,15:00:01
sh603179,新泉股份,64.830,-1.480,-2.232,64.830,64.860,66.310,66.360,66.660,64.780,7928021,518443697,603179,15:00:01
sh603225,新凤鸣,16.840,-0.500,-2.884,16.840,16.850,17.340,17.340,17.440,16.700,18101000,305449498,603225,15:00:00
sh603228,景旺电子,53.890,-0.280,-0.517,53.890,53.900,54.170,54.680,54.980,53.680,13507340,732410067,603228,15:00:01
sh603233,大参林,17.830,-0.120,-0.669,17.810,17.830,17.950,17.980,18.020,17.660,3121600,55656713,603233,15:00:01
sh603290,斯达半导,97.370,0.120,0.123,97.370,97.380,97.250,97.600,98.280,96.080,3274267,319003983,603290,15:00:01
